Age of Death,Type
4.45174538,Poodle Toy
11.73442847,Poodle Toy
15.96703171,Poodle Toy
6.187542779,Poodle Toy
6.288843258,Poodle Toy
13.77948893,Poodle Toy
12.03821583,Poodle Toy
17.66723705,Poodle Toy
14.96235455,Poodle Toy
16.00809948,Poodle Toy
12.80755191,Poodle Toy
13.33595711,Poodle Toy
10.58441707,Poodle Toy
7.843942505,Poodle Toy
9.338809035,Poodle Toy
12.7911248,Poodle Toy
14.00125485,Poodle Toy
14.46942733,Poodle Toy
15.08555784,Poodle Toy
15.97262149,Poodle Toy
16.52555327,Poodle Toy
17.75770021,Poodle Toy
0.123203285,Poodle Toy
12.39139859,Poodle Toy
7.216860598,Poodle Toy
15.20328542,Poodle Toy
9.06764773,Poodle Toy
14.16826375,Poodle Toy
7.931439653,Poodle Toy
15.84394251,Poodle Toy
19.07186858,Poodle Toy
16.25188227,Poodle Toy
13.69472964,Poodle Toy
15.38113164,Poodle Toy
16.29831166,Poodle Toy
7.999885923,Poodle Toy
15.91501255,Poodle Toy
13.19644079,Poodle Toy
17.37702487,Poodle Toy
16.30116359,Poodle Toy
5.46201232,Poodle Toy
13.62628337,Poodle Toy
