Type, Age of Death
male,74
male,37
male,49
male,39
male,68
male,61
male,70
male,60
male,65
male,59
male,79
male,65
male,87
male,19
male,88
male,63
male,85
male,11
male,79
male,54
male,72
male,47
male,78
male,84
male,80
male,66
male,27
male,0
male,1
male,7
male,65
male,53
male,76
male,75
male,80
male,68
male,31
male,62
male,70
male,103
male,57
male,21
male,67
male,81
male,56
male,62
male,59
male,35
male,72
male,61
male,60
male,86
male,60
male,61
male,88
male,6
male,92
male,80
male,69
male,1
male,84
male,50
male,93
male,74
male,76
male,67
male,81
male,73
male,53
male,19
male,84
male,69
male,54
male,76
male,88
male,76
male,75
male,79
male,71
male,90
male,44
male,28
male,51
male,43
male,85
male,71
male,70
male,60
male,65
male,31
male,85
male,74
male,1
male,72
male,50
male,95
male,73
male,93
male,71
male,74
male,84
male,77
male,88
male,63
male,63
male,71
male,52
male,31
male,39
male,87
male,86
male,78
male,2
male,0
male,52
male,84
male,86
male,84
male,82
male,22
male,17
male,75
male,81
male,32
male,86
male,80
male,14
male,78
male,60
male,82
male,68
male,72
male,63
male,71
male,79
male,55
male,59
male,56
male,64
male,59
male,95
male,69
male,87
male,86
male,80
male,71
male,1
male,74
male,80
male,1
