Age Range,Deaths in Range,Surviving Members,Mortality Rate
0,8,142,0.05333333333333334
5,2,140,0.06666666666666667
10,2,138,0.08
15,3,135,0.1
20,2,133,0.11333333333333333
25,2,131,0.12666666666666668
30,4,127,0.15333333333333332
35,4,123,0.18
40,2,121,0.19333333333333333
45,2,119,0.20666666666666667
50,9,110,0.26666666666666666
55,8,102,0.32
60,15,87,0.42
65,13,74,0.5066666666666667
70,20,54,0.64
75,15,39,0.74
80,17,22,0.8533333333333334
85,15,7,0.9533333333333334
90,4,3,0.98
95,2,1,0.9933333333333333
100,1,0,1.0
